1 1.1107208e+00 1.1072075e-01 1.9130148e-08 1.110721e+00
2 1.0261722e+00 2.6172161e-02 8.1252658e-09 1.0261722e+00
3 1.0115151e+00 1.1515141e-02 1.9394015e-08 1.011515e+00
4 1.0064545e+00 6.4544678e-03 7.5026122e-08 1.006454e+00
5 1.0041243e+00 4.1242838e-03 7.9836610e-08 1.004124e+00
6 1.0028615e+00 2.8614998e-03 7.7254114e-09 1.0028615e+00
7 1.0021013e+00 2.1013021e-03 8.6358767e-08 1.002101e+00
8 1.0016081e+00 1.6081333e-03 5.5767941e-08 1.001608e+00
9 1.0012704e+00 1.2704134e-03 4.5565606e-08 1.001270e+00
10 1.0010288e+00 1.0287762e-03 4.7973884e-08 1.001029e+00
11 1.0008503e+00 8.5031986e-04 1.5822357e-07 1.00085e+00
12 1.0007144e+00 7.1442127e-04 1.1722912e-07 1.00071e+00
13 1.0006087e+00 6.0868263e-04 8.9879251e-08 1.000609e+00
14 1.0005246e+00 5.2464008e-04 8.5121528e-08 1.000525e+00
15 1.0004572e+00 4.5716763e-04 9.5306447e-08 1.000457e+00
16 1.0004017e+00 4.0173531e-04 2.7150822e-08 1.000402e+00
17 1.0003557e+00 3.5572052e-04 1.0642101e-07 1.00036e+00
18 1.0003175e+00 3.1745434e-04 7.4031760e-08 1.000317e+00
19 1.0002847e+00 2.8467178e-04 1.7275357e-07 1.00028e+00
20 1.0002569e+00 2.5689602e-04 1.7117836e-07 1.00026e+00
22 1.0002127e+00 2.1266937e-04 2.2377797e-07 1.00021e+00
24 1.0001787e+00 1.7869473e-04 1.8565285e-07 1.00018e+00
26 1.0001520e+00 1.5199184e-04 1.0774907e-07 1.00015e+00
28 1.0001308e+00 1.3077259e-04 3.7258425e-07 1.00013e+00
30 1.0001144e+00 1.1444092e-04 2.0025070e-07 1.00011e+00
33 1.0000942e+00 9.4175339e-05 2.3712558e-07 1.00009e+00
36 1.0000794e+00 7.9393387e-05 6.1528546e-08 1.000079e+00
39 1.0000674e+00 6.7353249e-05 2.4257238e-07 1.00007e+00
42 1.0000588e+00 5.8770180e-05 4.8640783e-07 1.00006e+00
46 1.0000488e+00 4.8756599e-05 1.6875642e-07 1.00005e+00
50 1.0000408e+00 4.0769577e-05 3.5495856e-07 1.00004e+00
55 1.0000345e+00 3.4451485e-05 4.6443506e-07 1.00003e+00
60 1.0000291e+00 2.9087067e-05 5.2861282e-07 1.00003e+00
66 1.0000235e+00 2.3484230e-05 1.1771630e-07 1.00002e+00
72 1.0000201e+00 2.0146370e-05 3.1423133e-07 1.00002e+00
79 1.0000157e+00 1.5735626e-05 7.3762538e-07 1.00002e+00
86 1.0000136e+00 1.3589859e-05 3.1081433e-07 1.00001e+00
94 1.0000116e+00 1.1563301e-05 7.1965545e-08 1.000012e+00
103 1.0000100e+00 1.0013580e-05 3.2283876e-07 1.00001e+00
113 1.0000072e+00 7.1525574e-06 8.9889193e-07 1.00001e+00
124 1.0000072e+00 7.1525574e-06 4.6623728e-07 1.00001e+00
136 1.0000066e+00 6.5565109e-06 9.9807755e-07 1.00001e+00
149 1.0000041e+00 4.0531158e-06 5.7769876e-07 1.00000e+00
163 1.0000052e+00 5.2452087e-06 1.3757108e-06 1.0000e+00
179 1.0000031e+00 3.0994415e-06 1.0921674e-07 1.00000e+00
196 1.0000020e+00 2.0265579e-06 6.4963348e-07 1.00000e+00
215 1.0000021e+00 2.1457672e-06 7.8322358e-08 1.000002e+00
236 1.0000002e+00 2.3841858e-07 1.6074700e-06 1.0000e+00
259 1.0000011e+00 1.0728836e-06 4.5971868e-07 1.00000e+00
284 1.0000032e+00 3.2186508e-06 1.9439963e-06 1.0000e+00
312 1.0000006e+00 5.9604645e-07 4.6008844e-07 1.00000e+00
343 1.0000011e+00 1.0728836e-06 1.9902737e-07 1.00000e+00
377 1.0000015e+00 1.5497208e-06 8.2637297e-07 1.00000e+00
414 1.0000010e+00 9.5367432e-07 3.5384463e-07 1.00000e+00
455 1.0000002e+00 2.3841858e-07 2.5817999e-07 1.00000e+00
500 9.9999982e-01 1.7881393e-07 5.9004947e-07 1.00000e+00
550 9.9999696e-01 3.0398369e-06 3.3796955e-06 1.0000e+00
605 9.9999678e-01 3.2186508e-06 3.4995319e-06 1.0000e+00
665 1.0000017e+00 1.6689301e-06 1.4364404e-06 1.0000e+00
731 1.0000012e+00 1.1920929e-06 9.9970987e-07 1.00000e+00
804 1.0000029e+00 2.8610229e-06 2.7019923e-06 1.0000e+00
884 9.9999464e-01 5.3644180e-06 5.4959914e-06 9.9999e-01
972 1.0000030e+00 2.9802322e-06 2.8714117e-06 1.0000e+00
1069 9.9999827e-01 1.7285347e-06 1.8185165e-06 1.0000e+00
1175 9.9999821e-01 1.7881393e-06 1.8626143e-06 1.0000e+00
1292 9.9998719e-01 1.2814999e-05 1.2876562e-05 1.000e+00
1421 9.9999261e-01 7.3909760e-06 7.4419331e-06 9.9999e-01
1563 1.0000045e+00 4.5299530e-06 4.4878561e-06 1.0000e+00
1719 9.9999785e-01 2.1457672e-06 2.1806161e-06 1.0000e+00
1890 9.9999058e-01 9.4175339e-06 9.4462885e-06 9.9999e-01
2079 1.0000061e+00 6.0796738e-06 6.0558596e-06 1.0000e+00
2286 1.0000064e+00 6.4373016e-06 6.4176324e-06 1.0000e+00
2514 1.0000063e+00 6.3180923e-06 6.3018542e-06 1.0000e+00
2765 9.9999309e-01 6.9141388e-06 6.9275684e-06 9.9999e-01
3041 1.0000089e+00 8.9406967e-06 8.9296409e-06 1.0000e+00
